gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000160791.12,CCR5,-8.046790279254568,-1.271863222829208,8.499364419296953e-16,0.012564577563858172,0.0425971422156645,0.000149213988846012,NA,18,19,19
ENSG00000105397.9,TYK2,4.2966342023007895,0.7828880722496568,1.7341100052102954e-05,0.010901031833808587,0.0467466161134171,7.71887847029933e-05,NA,8,10,10
ENSG00000172215.5,CXCR6,-3.771439953844781,-0.5670695157635013,0.00016230821742340754,0.01789373624752927,0.0219856335347497,0.00713364144143581,NA,14,16,16
ENSG00000177981.6,ASB8,-3.7644686444138222,-0.5728437318381177,0.00016690360878898142,0.016618093962398536,0.0241521317728524,0.00484173278426831,NA,11,13,13
ENSG00000120913.19,PDLIM2,3.740027666091919,2.168916692147595,0.00018400000160785152,0.0019766089244343276,0.0351132824901327,0.000691027246565136,NA,1,2,2
ENSG00000186868.11,MAPT,-3.635748906521942,-0.3033146356423547,0.00027717421572164897,0.07656394040773562,0.207532359123426,9.41960311932853e-19,NA,18,27,27
ENSG00000117500.8,TMED5,-3.581481899245589,-0.8833629993199489,0.0003416508120460393,0.010438291402147207,0.0291060448392186,0.00194299922171104,NA,10,13,13
ENSG00000262539.1,RP11-259G18.3,-3.557253163802289,-0.21905156767814368,0.00037475295833921604,0.1245487566757606,0.512416915248427,8.49240354138853e-59,NA,24,38,38
ENSG00000204650.9,CRHR1-IT1,-3.5527045647266253,-0.16301353300524965,0.0003812924267958106,0.220400383937554,0.649976816352645,1.64784785528703e-88,NA,131,157,157
ENSG00000153253.11,SCN3A,-3.5340992850728807,-0.7941857456782129,0.000409167347353502,0.008968565342373157,0.0412151506189849,0.000211314603462507,NA,15,19,19
ENSG00000111860.9,CEP85L,3.4704866990705248,0.3221966848587281,0.0005195160724925221,0.05467246708086959,0.049528061336564,4.75707255584925e-05,NA,45,48,48
ENSG00000100490.5,CDKL1,-3.4674018231663104,-0.5342040144845145,0.0005255156712245223,0.02006869438635531,0.0932606436471229,1.25823376090493e-08,NA,15,21,21
ENSG00000267123.1,CTD-2357A8.3,-3.4349358827718253,-0.16845559983136055,0.0005926940433785832,0.21983759523379545,0.290162249416012,1.69886868065452e-27,NA,51,60,60
ENSG00000115339.9,GALNT3,3.421793411993705,0.4980131522207502,0.0006220956191238608,0.02697148113290166,0.0462003235318484,8.81901311152236e-05,NA,29,31,31
ENSG00000262500.1,RP11-259G18.2,-3.4144177728813068,-0.300423838479336,0.0006391848378229925,0.06418728101564816,0.484483906972152,2.18652533169399e-53,NA,15,28,28
ENSG00000232629.4,HLA-DQB2,-3.397837349897356,-0.09996776784114418,0.0006792078878489081,0.4130877544447806,0.52417243336092,1.73105205527012e-60,NA,32,39,39
