Gene ID,Mapped IDs,Gene name symbol ID,family,protein class,species
HUMAN|HGNC=14970|UniProtKB=Q9UNH7,SNX6,Sorting nexin-6;SNX6;PTN002471521;orthologs,SORTING NEXIN-6 (PTHR45850:SF4),scaffold/adaptor protein(PC00226),Homo sapiens
HUMAN|HGNC=2701|UniProtKB=P43146,DCC,Netrin receptor DCC;DCC;PTN002544021;orthologs,NETRIN RECEPTOR DCC (PTHR44170:SF8),cell adhesion molecule(PC00069),Homo sapiens
HUMAN|HGNC=9391|UniProtKB=P13861,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit;PRKAR2A;PTN002541696;orthologs,CAMP-DEPENDENT PROTEIN KINASE TYPE II-ALPHA REGULATORY SUBUNIT (PTHR11635:SF153),kinase modulator(PC00140),Homo sapiens
HUMAN|HGNC=10588|UniProtKB=Q99250,SCN2A,Sodium channel protein type 2 subunit alpha;SCN2A;PTN002467440;orthologs,SODIUM CHANNEL PROTEIN TYPE 2 SUBUNIT ALPHA-RELATED (PTHR45628:SF26),voltage-gated ion channel(PC00241),Homo sapiens
HUMAN|HGNC=3392|UniProtKB=P54762,EPHB1,Ephrin type-B receptor 1;EPHB1;PTN002521329;orthologs,EPHRIN TYPE-B RECEPTOR 1 (PTHR46877:SF17),transmembrane signal receptor(PC00197),Homo sapiens
HUMAN|HGNC=14291|UniProtKB=Q8N2Q7,NLGN1,Neuroligin-1;NLGN1;PTN002537640;orthologs,NEUROLIGIN-1 (PTHR43903:SF2),cell adhesion molecule(PC00069),Homo sapiens
HUMAN|HGNC=2172|UniProtKB=Q02246,CNTN2,Contactin-2;CNTN2;PTN002537667;orthologs,CONTACTIN-2 (PTHR10075:SF55),scaffold/adaptor protein(PC00226),Homo sapiens
HUMAN|HGNC=3467|UniProtKB=P03372,ESR1,Estrogen receptor;ESR1;PTN002515280;orthologs,ESTROGEN RECEPTOR (PTHR48092:SF16),C4 zinc finger nuclear receptor(PC00169),Homo sapiens
HUMAN|HGNC=10953|UniProtKB=Q96BD0,SLCO4A1,Solute carrier organic anion transporter family member 4A1;SLCO4A1;PTN002478602;orthologs,SOLUTE CARRIER ORGANIC ANION TRANSPORTER FAMILY MEMBER 4A1 (PTHR11388:SF100),transporter(PC00227),Homo sapiens
HUMAN|HGNC=3749|UniProtKB=Q01543,FLI1,Friend leukemia integration 1 transcription factor;FLI1;PTN002483887;orthologs,FRIEND LEUKEMIA INTEGRATION 1 TRANSCRIPTION FACTOR (PTHR11849:SF161),winged helix/forkhead transcription factor(PC00246),Homo sapiens
HUMAN|HGNC=13248|UniProtKB=Q9BXU9,CALN1,Calcium-binding protein 8;CALN1;PTN002507278;orthologs,CALCIUM-BINDING PROTEIN 8 (PTHR46311:SF3),,Homo sapiens
HUMAN|HGNC=4088|UniProtKB=Q99928,GABRG3,Gamma-aminobutyric acid receptor subunit gamma-3;GABRG3;PTN002498432;orthologs,GAMMA-AMINOBUTYRIC ACID RECEPTOR SUBUNIT GAMMA-3 (PTHR18945:SF195),ligand-gated ion channel(PC00141),Homo sapiens
HUMAN|HGNC=29394|UniProtKB=Q5GH76,XKR4,XK-related protein 4;XKR4;PTN002496884;orthologs,XK-RELATED PROTEIN 4 (PTHR16024:SF16),secondary carrier transporter(PC00258),Homo sapiens
HUMAN|HGNC=2901|UniProtKB=Q15700,DLG2,Disks large homolog 2;DLG2;PTN002508440;orthologs,DISKS LARGE HOMOLOG 2 (PTHR23119:SF6),scaffold/adaptor protein(PC00226),Homo sapiens
HUMAN|HGNC=3225|UniProtKB=P52803,EFNA5,Ephrin-A5;EFNA5;PTN002477878;orthologs,EPHRIN-A5 (PTHR11304:SF33),membrane-bound signaling molecule(PC00152),Homo sapiens
HUMAN|HGNC=8859|UniProtKB=Q13608,PEX6,Peroxisomal ATPase PEX6;PEX6;PTN002507724;orthologs,PEROXISOMAL ATPASE PEX6 (PTHR23077:SF9),primary active transporter(PC00068),Homo sapiens
HUMAN|HGNC=3432|UniProtKB=Q15303,ERBB4,Receptor tyrosine-protein kinase erbB-4;ERBB4;PTN002521394;orthologs,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-4 (PTHR24416:SF90),transmembrane signal receptor(PC00197),Homo sapiens
HUMAN|HGNC=9588|UniProtKB=P60484,TEP1,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN;PTEN;PTN002487381;orthologs","PHOSPHATIDYLINOSITOL 3,4,5-TRISPHOSPHATE 3-PHOSPHATASE AND DUAL-SPECIFICITY PROTEIN PHOSPHATASE PTEN (PTHR12305:SF81)",protein phosphatase(PC00195),Homo sapiens
